lat,lon
37.803471,-122.271589
37.803508,-122.271694
37.803463,-122.271596
37.76518,-122.419679
37.765176,-122.419755
37.80806,-122.268722
37.808105,-122.268821
37.808065,-122.26872
37.752426,-122.418445
37.752422,-122.418518
37.995415,-121.780353
37.853087,-122.269819
37.853069,-122.26975
37.721758,-122.44751
37.721748,-122.447433
37.696938,-122.126431
37.696887,-122.126488
37.368495,-121.874661
37.368474,-121.874759
37.690776,-122.075615
37.690708,-122.075614
37.77945,-122.413879
37.77938,-122.413804
37.753558,-122.19676
37.753604,-122.196698
37.752225,-122.19627
37.684642,-122.466167
37.684691,-122.466115
37.973773,-122.029126
37.973751,-122.029046
37.706304,-122.468994
37.706263,-122.468922
37.706227,-122.468851
37.870117,-122.268078
37.870113,-122.268166
37.701692,-121.899242
37.70161,-121.899245
37.925205,-122.316868
37.92517,-122.316942
37.902633,-122.298895
37.902596,-122.29897
37.792741,-122.397019
37.792789,-122.39708
37.557459,-121.976658
37.557513,-121.976605
37.774873,-122.224067
37.774818,-122.224121
37.733269,-122.433557
37.733212,-122.433498
37.669678,-122.087
37.669731,-122.086941
37.893155,-122.124621
37.89322,-122.124644
37.797296,-122.265287
37.797357,-122.265232
37.828814,-122.267163
37.828801,-122.267076
37.828827,-122.267259
37.82879,-122.266978
37.600199,-122.38684
37.409808,-121.890883
37.409836,-121.890803
37.789143,-122.401558
37.789213,-122.401642
37.874,-122.283591
37.874032,-122.283508
38.003407,-122.024561
38.003369,-122.02449
37.713256,-122.212237
37.87847,-122.183643
37.878503,-122.183717
38.01895,-121.944248
38.018881,-121.944249
38.016805,-121.889039
38.016873,-121.889011
37.928463,-122.056015
37.928414,-122.055954
37.784645,-122.407387
37.784576,-122.407302
37.936731,-122.353117
37.936795,-122.353004
37.844725,-122.251225
37.844795,-122.251271
37.637751,-122.416292
37.63772,-122.416384
37.616091,-122.392049
37.616189,-122.39196
37.721773,-122.160792
37.721806,-122.160713
37.634363,-122.057158
37.634328,-122.057233
37.664497,-122.444193
37.664437,-122.444254
37.590714,-122.017292
37.590765,-122.01723
37.90578,-122.067302
37.905812,-122.067379
37.502274,-121.939459
37.502307,-121.939358
37.699693,-121.92828
37.69976,-121.928301
37.804923,-122.295144
37.804862,-122.295185
37.757599,-122.39188
37.757583,-122.392404
37.709537,-122.401586
37.709544,-122.40198
37.52089,-122.275738
37.520844,-122.275816
37.252422,-121.797643
37.252379,-121.797683
37.58764,-122.36265
37.587552,-122.362708
37.580197,-122.3449
37.580186,-122.345075
37.429365,-122.141927
37.429333,-122.141978
37.284102,-121.841955
37.284062,-121.842037
37.342384,-121.9146
37.342338,-121.914677
37.003538,-121.566088
37.003485,-121.566225
37.552938,-122.309338
37.552994,-122.309608
37.542607659,-122.3014966366
37.542536,-122.301666
37.370598,-121.997114
37.370484,-121.997135
37.454856,-122.182297
37.454745,-122.182405
37.59988,-122.386647
37.599797,-122.386832
37.129363,-121.650244
37.129321,-121.650304
37.394459,-122.075956
37.394402,-122.075994
37.443475,-122.164614
37.443405,-122.164697
37.486159,-122.231936
37.486101,-122.232
37.4073321574,-122.1070020272
37.4072397241,-122.1071162171
37.6304996012,-122.4115926041
37.6304605129,-122.4117090507
37.50805,-122.26015
37.507933,-122.260266
37.77639,-122.394992
37.776348,-122.394935
37.329239,-121.903011
37.329231,-121.903173
37.085225,-121.610049
37.086653,-121.610936
37.568087,-122.323851
37.568294,-122.324092
37.353238,-121.93608
37.353189,-121.936135
37.6559413948,-122.4049790512
37.6559419334,-122.4049797097
37.378916,-122.031372
37.378789,-122.031423
37.31174,-121.883721
37.31175,-121.883999
